parameter_name,Prepulse inhibition - PP3
gene_accession_id,MGI:1345282
pvalue,0.974223
mouse_strain,C57BL
gene_symbol,Slc30a4
mouse_life_stage,Early adult
analysis_id,31lvf0210hjbbrz
parameter_id,ESLIM_011_001_703
