analysis_id,e3m42cg565nhxo7
pvalue,0.3405713
gene_symbol,Bcs1l
parameter_id,JAXLA_OFD_009_001
parameter_name,Whole arena average speed
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
mouse_strain,C57BL
