analysis_id,d102yv594l825o4
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.215516
gene_accession_id,MGI:1919949
parameter_name,Retina (combined)
gene_symbol,Lime1
parameter_id,JAXLA_EYE_092_001
