parameter_name,CV
parameter_id,IMPC_ECG_003_001
analysis_id,avylv869w758352
pvalue,0.4913724
gene_accession_id,MGI:1913405
mouse_strain,C57BL
gene_symbol,Ufc1
mouse_life_stage,Early adult
