analysis_id,1o11ax2nxg2b0a4
pvalue,0.6475011
parameter_name,Retina (combined)
mouse_strain,129SV
gene_accession_id,MGI:104848
gene_symbol,Inpp1
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_001
