parameter_name,Body Weight
analysis_id,z375y7x05e2nqh0
mouse_strain,C57BL
gene_accession_id,MGI:2446274
pvalue,0.2273339
parameter_id,M-G-P_020_001_001
mouse_life_stage,Late adult
gene_symbol,Frmpd1
