analysis_id,t3t4jb856b470j0
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
pvalue,0.5577058
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
gene_symbol,Lamb3
