parameter_name,Vibrissae - presence
analysis_id,4af5tkvhwb2420y
mouse_strain,C57BL
pvalue,0.5102117
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
parameter_id,JAXLA_CSD_023_001
gene_symbol,Secisbp2l
