mouse_life_stage,Middle aged adult
parameter_id,ESLIM_008_001_001
gene_symbol,AU040320
pvalue,0.5820714
mouse_strain,C57BL
gene_accession_id,MGI:2140475
analysis_id,auo695l19947455
parameter_name,Body position
