gene_symbol,Rgs20
analysis_id,988vt6om465m3ra
parameter_name,Center average speed
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_017_001
mouse_strain,C57BL
pvalue,0.08724394
