gene_symbol,Secisbp2l
parameter_id,IMPC_EYE_009_001
analysis_id,hv9l42x4k8n1656
pvalue,0.4255389
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_name,Corneal vascularization
mouse_life_stage,Late adult
