gene_symbol,Rap2b
parameter_name,KLRG1+ mature NK cell percentage
mouse_life_stage,Early adult
pvalue,0.1521627
analysis_id,p2djljbb3nl0b9d
parameter_id,MGP_PBI_011_001
gene_accession_id,MGI:1921262
mouse_strain,C57BL
