analysis_id,db75hz7za245557
parameter_id,IMPC_DXA_004_001
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
gene_symbol,Rab13
pvalue,0.9926562
