gene_symbol,Maco1
gene_accession_id,MGI:1913396
pvalue,0.9344423
mouse_life_stage,Early adult
parameter_id,JAX_OFD_017_001
analysis_id,91h7h8k97eghw68
mouse_strain,C57BL
parameter_name,Center average speed
