gene_symbol,Psd4
parameter_id,IMPC_ECH_001_001
pvalue,0.742983
parameter_name,End-Systolic Diameter
mouse_strain,C59BL
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
analysis_id,ysv96x244q14ej1
