gene_symbol,Wars2
analysis_id,40r8e6m80478b64
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.521932
parameter_id,MGP_IMM_094_001
mouse_strain,C57BL
