gene_symbol,Grem2
gene_accession_id,MGI:1344367
analysis_id,e92n97fax6l05t4
parameter_name,Vibrissae - appearance
mouse_strain,C50BL
parameter_id,HMGULA_DYS_024_001
mouse_life_stage,E18.5
pvalue,0.6932793
