analysis_id,35627d8sz81y7d5
gene_accession_id,MGI:1336200
mouse_strain,C57BL
parameter_id,MGP_PBI_035_001
gene_symbol,Hpca
parameter_name,IgD+ mature B cell number
pvalue,0.1229353
mouse_life_stage,Late adult
