parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
gene_symbol,Cdin1
pvalue,0.1157439
analysis_id,04tm628001axyn0
mouse_strain,C57BL
