analysis_id,8683j2r0kej74tw
pvalue,0.3365236
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
parameter_id,IMPC_IMM_005_002
