gene_symbol,Ddx27
analysis_id,u05od86a5n73u83
parameter_name,Lens Opacity
pvalue,0.4998201
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:2385884
mouse_strain,129SV
mouse_life_stage,Early adult
