analysis_id,hpy6b7jt7t24gu4
gene_symbol,Cntfr
gene_accession_id,MGI:99605
mouse_strain,129SV
parameter_id,IMPC_IMM_065_001
pvalue,0.4572868
parameter_name,B2B Cells
mouse_life_stage,Early adult
