analysis_id,rd178hs8t7n9qk0
gene_symbol,Snap23
pvalue,0.2834113
mouse_life_stage,Middle aged adult
parameter_name,Lens Opacity
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_id,UCDLA_EYE_017_001
