Gene_symbol,Stk35
Parameter_name,Coat - hair distribution - back
gene_accession_id,MGI:1914583
analysis_id,37yvu87z4h6298c
pvalue,0.2815842
Parameter_id,IMPC_CSD_011_001
mouse_life_stage,Early adult
Mouse_strain,C57BL
