Analysis_id,u1ib80jcqhp8tof
mouse_life_stage,Early adult
Pvalue,0.08443487
Gene_accession_id,MGI:1338022
Mouse_strain,C57BL
gene_symbol,Opn3
Parameter_name,CD4+ T helper cells - % of CD45+
Parameter_id,MGP_IMM_072_001
