parameter_name,eye size
pvalue,0.9529163
mouse_strain,C57BL
parameter_id,ESLIM_001_001_117
mouse_life_stage,Early adult
analysis_id,b90ud9r80z4uv60
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
