analysis_id,b976vv9z09ktt46
parameter_name,Lens Opacity
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dmap1
pvalue,0.3478103
gene_accession_id,MGI:1913483
parameter_id,IMPC_EYE_017_001
