analysis_id,o788sthvk1ti06g
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
mouse_strain,C57BL
parameter_id,IMPC_FEA_107_001
pvalue,0.08014382
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_symbol,Alkbh3
