gene_symbol,Kdm5b
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
pvalue,0.1908855
analysis_id,0w96p9770a6146i
mouse_strain,C57BL
parameter_name,Tremor
gene_accession_id,MGI:1922855
