parameter_name,Percentage center time
mouse_life_stage,Early adult
parameter_id,JAX_OFD_022_001
analysis_id,70f6by0a38ro5vk
mouse_strain,C57BL
pvalue,0.05201733
gene_symbol,Opn3
gene_accession_id,MGI:1338022
