parameter_name,Center average speed
mouse_strain,C57BL
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
analysis_id,2t557tw14dnq384
parameter_id,JAXLA_OFD_017_001
pvalue,0.9314055
gene_symbol,Lpgat1
