parameter_name,Lean mass
mouse_strain,C57BL
parameter_id,IMPC_DXA_003_001
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
pvalue,0.5093398
analysis_id,qe06pcmnb01249e
gene_symbol,Toporsl
