mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Liver weight
gene_accession_id,MGI:3026886
pvalue,0.1811025
gene_symbol,Cdin1
analysis_id,ho6d9vo5360lhvd
parameter_id,UCD_OWT_008_001
