analysis_id,c4i6276ds391q69
parameter_id,IMPC_FEA_106_001
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
pvalue,0.1640043
mouse_strain,C57BL
gene_accession_id,MGI:1917604
