analysis_id,d62tv6qy6m9dhvu
mouse_life_stage,Early adult
gene_symbol,Bach2
gene_accession_id,MGI:894679
mouse_strain,C57BL
parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
pvalue,0.9387568
