parameter_name,Neutrophil differential count
analysis_id,979k4t3f40pm940
parameter_id,IMPC_HEM_029_001
mouse_strain,C57BL
gene_symbol,Snap23
pvalue,0.4806914
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
