parameter_id,UCDLA_EYE_017_001
pvalue,0.1283226
analysis_id,c4f7or0h6nkt3z5
gene_symbol,Kifap3
gene_accession_id,MGI:107566
parameter_name,Lens Opacity
mouse_life_stage,Early adult
mouse_strain,C57BL
