mouse_life_stage,Middle aged adult
parameter_id,JAXLA_GRS_010_001
gene_accession_id,MGI:2140475
pvalue,0.31251
mouse_strain,C56BL
analysis_id,af9jkvfb95c54q0
gene_symbol,AU040320
parameter_name,Forelimb grip strength normalised against body weight
