gene_symbol,Lamb3
parameter_id,IMPC_ACS_033_001
gene_accession_id,MGI:99915
pvalue,0.3203783
analysis_id,2z9cg9q16438036
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,Early adult
