analysis_id,cr25ppanfakx9e7
mouse_life_stage,E12.5
parameter_id,IMPC_GEO_019_001
mouse_strain,C57BL
parameter_name,Embryo Size
gene_accession_id,MGI:88174
gene_symbol,Bmi1
pvalue,0.3479489
