parameter_name,Facial Morphology
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,IMPC_GEP_017_001
pvalue,0.78335
mouse_life_stage,E12.5
analysis_id,26o2709vbg30iz9
gene_accession_id,MGI:88174
