gene_symbol,Rgs20
parameter_name,Cue Baseline % Freezing Time
pvalue,0.6529509
mouse_strain,C57BL
parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Early adult
analysis_id,59ftjufxol9g028
gene_accession_id,MGI:1929866
