gene_symbol,Kif24
parameter_name,CD11b-high cDC - % of CD45+
parameter_id,MGP_IMM_129_001
mouse_strain,C57BL
analysis_id,3e97p222424352c
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
pvalue,0.8970925
