parameter_id,IMPC_CSD_036_001
pvalue,0.9635645
mouse_life_stage,Early adult
gene_symbol,Ddx27
mouse_strain,129SV
analysis_id,9f5h69l05x16558
gene_accession_id,MGI:2385884
parameter_name,Startle response
