parameter_name,Alanine aminotransferase
mouse_life_stage,Early adult
pvalue,0.7422155
parameter_id,IMPC_CBC_013_001
gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
analysis_id,dl74e7456298671
