parameter_name,Vitreous
parameter_id,IMPC_EYE_083_001
gene_accession_id,MGI:1345282
analysis_id,51818stkfywr47h
mouse_life_stage,Middle aged adult
pvalue,0.5245969
mouse_strain,C57BL
gene_symbol,Slc30a4
