parameter_name,Bone Area
gene_accession_id,MGI:2385884
mouse_strain,129SV
pvalue,0.8358492
analysis_id,0mx31m4m8u15479
gene_symbol,Ddx27
parameter_id,IMPC_DXA_010_001
mouse_life_stage,Early adult
