gene_symbol,Casq1
analysis_id,00k06566w878jb8
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
pvalue,0.242679
parameter_id,IMPC_XRY_025_001
parameter_name,Tibia
mouse_strain,C57BL
