parameter_id,MGP_PBI_040_001
analysis_id,8fuj2chfnv8y7lm
mouse_strain,C57BL
pvalue,0.3042291
gene_symbol,Exd1
mouse_life_stage,Early adult
parameter_name,Eosinophil number
gene_accession_id,MGI:3045306
