gene_symbol,Dnajc5b
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7543849
gene_accession_id,MGI:1913576
analysis_id,ymwze19bkmevs0b
parameter_id,MGP_PBI_038_001
parameter_name,Ly6Clow monocyte number
