analysis_id,433pwel3dm9rb94
parameter_id,IMPC_OFD_012_001
mouse_life_stage,Early adult
gene_symbol,Ubxn11
mouse_strain,C57BL
pvalue,0.4558195
gene_accession_id,MGI:1914836
parameter_name,Periphery permanence time
