gene_symbol,Rufy4
parameter_id,IMPC_EYE_001_001
mouse_strain,C57BL
parameter_name,Eye
analysis_id,h3r88902yjg6t65
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
pvalue,0.09881844
