analysis_id,v7tp34vdq555979
gene_accession_id,MGI:1916363
parameter_id,MGP_IMM_028_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
gene_symbol,Alkbh3
mouse_life_stage,Early adult
pvalue,0.6722039
