gene_symbol,Sema6c
parameter_id,IMPC_OFD_018_001
analysis_id,9f9680x98v80913
mouse_strain,C57BL
pvalue,0.7294374
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
parameter_name,Latency to center entry
