analysis_id,1z8091li056yqm2
gene_symbol,Bmp7
parameter_name,Lens Opacity
pvalue,0.3270031
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:103302
mouse_strain,C57BL
