analysis_id,t79099zbx7y849h
pvalue,0.7478686
parameter_name,Head coat/hair presence
mouse_life_stage,Early adult
parameter_id,MGP_CSD_015_001
mouse_strain,C57BL
gene_symbol,Rab17
gene_accession_id,MGI:104640
