parameter_name,Monocyte percentage
gene_symbol,Eprs1
pvalue,0.5970914
parameter_id,MGP_PBI_016_001
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
analysis_id,842ol64x4st010b
mouse_strain,C57BL
