parameter_name,% Freezing duration pre-cue-2
gene_symbol,Zmynd19
parameter_id,ICS_FEA_019_001
pvalue,0.4097692
analysis_id,88x94jt1jfw20i7
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
mouse_strain,C57BL
