gene_symbol,Sprr1b
parameter_id,IMPC_GEL_063_001
gene_accession_id,MGI:106659
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,20xzljxpeb67eh2
pvalue,0.9244697
parameter_name,Delayed embryonic development
