parameter_name,Left total retinal thickness
mouse_strain,C57BL
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_068_001
pvalue,0.154563
gene_symbol,Atg4c
analysis_id,4u40hvfg40a0irt
