parameter_name,NKT cells (panel A)
pvalue,0.199364
mouse_strain,C57BL
analysis_id,j644mp090m4rln1
gene_accession_id,MGI:109585
gene_symbol,Pld1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_001
