parameter_name,Hemoglobin
pvalue,0.2221857
gene_symbol,Etfdh
parameter_id,IMPC_HEM_003_001
analysis_id,im9ue0djm62qh1f
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
mouse_strain,C57BL
