analysis_id,5778v77535j9e89
mouse_strain,C57BL
pvalue,0.6415505
gene_symbol,Pld1
parameter_id,MGP_MLN_031_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
parameter_name,Total NK cells - % of CD45+
