parameter_name,Total cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
pvalue,0.09528153
analysis_id,y2my792837y5803
parameter_id,IMPC_CBC_015_001
gene_symbol,Cntfr
